,Method,matrix,N,sigma,run,Residual Norm 1,Residual Norm 2
0,CG,BCSSTK17.mat,10974,1e-07,0,4.615066970602786e-19,0.0003496445549869701
1,MG,BCSSTK17.mat,10974,1e-07,0,1.3773771280653284e-06,5.579746380939002e-16
2,SD,BCSSTK17.mat,10974,1e-07,0,6.462860685472398e-14,2.9417123106774937e-05
3,GMRES,BCSSTK17.mat,10974,1e-07,0,1.5933086683852267e-06,0.00013833957817981437
4,CG,BCSSTK17.mat,10974,1e-06,0,4.375249644282697e-18,0.0033387778259457656
5,MG,BCSSTK17.mat,10974,1e-06,0,1.2993786912649873e-05,5.247175119916489e-16
6,SD,BCSSTK17.mat,10974,1e-06,0,3.706546893802073e-16,2.8337856235496296e-05
7,GMRES,BCSSTK17.mat,10974,1e-06,0,4.794521677795697e-06,0.0004011805202606211
8,CG,BCSSTK17.mat,10974,1e-05,0,4.862268109961673e-17,0.029113033035243742
9,MG,BCSSTK17.mat,10974,1e-05,0,0.00014061490816560197,5.664405171215381e-16
10,SD,BCSSTK17.mat,10974,1e-05,0,5.108879673868148e-15,0.00025786142270919736
11,GMRES,BCSSTK17.mat,10974,1e-05,0,3.962449527198889e-06,0.001135326805986639
12,CG,BCSSTK17.mat,10974,0.0001,0,5.21842406516394e-16,0.346988861639905
13,MG,BCSSTK17.mat,10974,0.0001,0,0.0012762996981484061,5.461880654152121e-16
14,SD,BCSSTK17.mat,10974,0.0001,0,3.6832879683347804e-14,0.0027232192542946216
15,GMRES,BCSSTK17.mat,10974,0.0001,0,1.0174233946749542e-05,0.0031658156328991036
16,CG,BCSSTK17.mat,10974,0.001,0,4.315342106812922e-15,3.3298285235759337
17,MG,BCSSTK17.mat,10974,0.001,0,0.012591854418198609,5.395129237963124e-16
18,SD,BCSSTK17.mat,10974,0.001,0,3.5478447345745915e-13,0.025939061338214053
19,GMRES,BCSSTK17.mat,10974,0.001,0,4.152179597554846e-06,0.02272978656584909
0,CG,BCSSTK16.mat,4884,1e-07,0,2.1744853190473816e-20,6.979920219308164e-05
1,MG,BCSSTK16.mat,4884,1e-07,0,4.4446318230916904e-07,1.8727971513513652e-16
2,SD,BCSSTK16.mat,4884,1e-07,0,6.6374688600837896e-18,7.431857490634716e-07
3,GMRES,BCSSTK16.mat,4884,1e-07,0,2.8630998196791112e-06,7.419205049156938e-06
4,CG,BCSSTK16.mat,4884,1e-06,0,2.440563975925028e-19,0.000646048518037969
5,MG,BCSSTK16.mat,4884,1e-06,0,4.4384224592587304e-06,2.0058573579013709e-16
6,SD,BCSSTK16.mat,4884,1e-06,0,4.583342378841291e-17,9.091551476456989e-06
7,GMRES,BCSSTK16.mat,4884,1e-06,0,5.162318545118672e-06,6.122776076858875e-06
8,CG,BCSSTK16.mat,4884,1e-05,0,5.516188628238625e-18,0.006365256305566573
9,MG,BCSSTK16.mat,4884,1e-05,0,5.369547250709511e-05,2.0461048008873302e-16
10,SD,BCSSTK16.mat,4884,1e-05,0,5.583914074512444e-16,8.27106339433974e-05
11,GMRES,BCSSTK16.mat,4884,1e-05,0,5.4041792749383174e-05,7.83066899632762e-06
12,CG,BCSSTK16.mat,4884,0.0001,0,3.26679493534435e-17,0.07328872705112856
13,MG,BCSSTK16.mat,4884,0.0001,0,0.0005224728505940354,2.0278766256453746e-16
14,SD,BCSSTK16.mat,4884,0.0001,0,5.39425375488112e-15,0.0009561868630386869
